0.000007,0.003854,0.031623,0.600099,3.212370,5.816839,125.358080,
0.000006,0.003792,0.032324,0.600369,3.219024,5.797745,128.528061,
0.000006,0.003786,0.032105,0.589271,3.204909,5.779063,125.511526,
0.000005,0.003759,0.030914,0.583808,3.155053,5.792340,130.189123,
0.000006,0.003762,0.031071,0.595891,3.100446,5.899994,125.591591,
0.000005,0.003872,0.032325,0.598548,3.149181,5.842917,132.691128,
0.000005,0.003760,0.031504,0.604328,3.039555,5.769106,135.160676,
0.000005,0.003864,0.032744,0.600185,3.299282,5.809939,130.994478,
0.000006,0.003809,0.033071,0.574759,3.197516,5.771828,128.613129,
0.000006,0.003955,0.032773,0.586750,3.206256,5.792664,126.283110,
